,Embedding,Texto,Keywords Pregunta
10,[ 0.007027  -0.0258    -0.0704    ... -0.0008025  0.04984   -0.0529   ],"La Copa de Clubes de Asia de 1997 fue la 16.ª edición del torneo de fútbol más importante a nivel de clubes de Asia organizado por la AFC.
El Pohang Steelers de Corea del Sur venció en la final al entonces campeón defensor Cheonan Ilhwa Chunma también de Corea del Sur para ser campeón del torneo por primera occasión.La Copa de Clubes de Asia de 1998 fue la 17.ª edición del torneo de fútbol a nivel de clubes más importante de Asia organizado por la AFC.
El Pohang Steelers de Corea del Sur venció en la final al Dalian Wanda de China para proclamarse campeón por segunda ocasión consecutiva.",¿Quién ganó la Copa de Clubes de Asia 1997-98?
11,[-0.0971    0.02039   0.01581  ...  0.03053  -0.01843   0.001563],"Hüffelsheim es un municipio situado en el distrito de Bad Kreuznach, en el estado federado de Renania-Palatinado (Alemania). Su población estimada a finales de 2016 era de 1315 habitantes.[2]​
Se encuentra ubicado en el centro del estado, al oeste de la ciudad de Maguncia —la capital del estado— a poca distancia de la orilla del río Nahe, un afluente del Rin por la izquierda.Bad Kreuznaches un distrito en Renania-Palatinado, Alemania. limita con los distritos de Rin-Hunsrück, Maguncia-Bingen, Alzey-Worms, Donnersberg, Kusel y Birkenfeld.","¿El municipio Hüffelsheim, está ubicado en el este o el oeste de Alemania?"
12,[-0.02846 -0.035   -0.02838 ...  0.00979  0.03778 -0.04556],"Ghislain N'Clomande Konan, más conocido como Ghislain Konan, (Abiyán, 27 de diciembre de 1995) es un futbolista marfileño que juega de defensa.La selección de fútbol de Costa de Marfil es el equipo representativo del país en las competiciones oficiales. Es dirigida por la Fédération Ivoirienne de Football, perteneciente a la Confederación Africana de Fútbol.
Con un total de 23 participaciones, Los Elefantes alzaron la Copa Africana de Naciones en tres ocasiones: en 1992, 2015 y de locales en 2024. También fueron subcampeones en 2006 y 2012.",¿Cuál es el único club africano en el que Ghislain Konan ha jugado profesionalmente?
13,[-0.0578   -0.02806  -0.003956 ... -0.02605   0.00566  -0.01903 ],"Captain Morgan es una de las marcas de ron producida por la empresa Diageo. Recibe este nombre por el corsario del Caribe del siglo XVII originario de Gales Henry Morgan. El eslogan de Captain Morgan es: ""¿Hay un pequeño capitán en ti?"" («Got a little Captain in You?»).Tracy Jamal Morgan (Brooklyn, 10 de noviembre de 1968) es un actor, comediante y autor estadounidense que es conocido por sus ocho temporadas como miembro de elenco de Saturday Night Live y actualmente conocido por interpretar el papel de Tracy Jordan en la serie de NBC 30 Rock.",¿Qué tipo de bebida es el Capitan Morgan?
14,[ 0.00893  0.04123 -0.01289 ...  0.00288 -0.02232 -0.0331 ],"Torún[3]​[4]​[5]​[6]​ (en polaco: Toruń , en alemán: Thorn) es una ciudad situada en el norte de Polonia. Tiene una población estimada, a fines de septiembre de 2023, de 172 554 habitantes.[7]​
Es una de las dos capitales del Voivodato de Cuyavia y Pomerania, junto con Bydgoszcz.
Es la localidad natal de Nicolás Copérnico.
La parte medieval de la ciudad está inscrita como Patrimonio de la Humanidad de la UNESCO desde 1997. La composición de la plaza mayor y las calles adyacentes sigue siendo la misma que hace siete siglos.Twarde Pierniki Toruń, más conocido como Polski Cukier Toruń por motivos de patrocinio,  es un equipo de baloncesto polaco con sede en la ciudad de Toruń, que compite en la Energa Basket Liga, la máxima división de su país. Disputa sus partidos en el Arena Toruń, con capacidad para 6,790 espectadores.",¿En qué país se encuentra la ciudad de Toruń?
15,[ 0.04547    0.01516   -0.01869   ...  0.0009346  0.00832   -0.00662  ],"Twarde Pierniki Toruń, más conocido como Polski Cukier Toruń por motivos de patrocinio,  es un equipo de baloncesto polaco con sede en la ciudad de Toruń, que compite en la Energa Basket Liga, la máxima división de su país. Disputa sus partidos en el Arena Toruń, con capacidad para 6,790 espectadores.Una estación ferroviaria o estación de ferrocarril es una instalación ferroviaria con vías a la que pueden llegar y desde la que se pueden expedir trenes. Se compone de varias vías, con desvíos entre ellas, y se delimita por señales de entrada en ambos sentidos. Adicionalmente son un punto de acceso al ferrocarril de pasajeros y mercancías, aunque no es una condición indispensable para ser una estación.
Suelen componerse de andenes junto a las vías y un edificio de viajeros con servicios como venta de billetes y sala de espera.",¿Cuál fue la última estación espacial soviética?
16,[-0.01947   -0.00861   -0.04465   ...  0.012436   0.0004086 -0.02771  ],"Kansas City, Kansas (abreviado como KCK) es la tercera ciudad más grande del estado estadounidense de Kansas y sede del condado de Wyandotte, formando parte del ""Gobierno Unificado"",[6]​ el cual incluye también a las ciudades de Bonner Springs y Edwardsville. Según estimaciones del censo del año 2000, la población de la ciudad era de 146 867 habitantes. Situada en la confluencia de los ríos Misuri y Kansas,[7]​ la ciudad está frente a Kansas City, Misuri, y está incluida en el área metropolitana de Kansas City, la cual es una ciudad satélite de la ciudad principal.Los fotógrafos de la Guerra de Secesión fueron numerosos y muy activos en ambos lados del campo de batalla; la Guerra de Secesión fue el primer conflicto del siglo XIX ampliamente cubierto por los medios de comunicación y por medio de reporteros informativos, uno de los primeros casos de periodismo de guerra real, que se acercaron a los principales enfrentamientos y a través de sus especialistas en la caza de imágenes.
Luego hubo un gran grupo de fotógrafos, también de otras nacionalidades, que trabajaron con total o menos autonomía con la intención explícita de documentar las tragedias de lo que pronto resultó ser una guerra periodística luchada con las armas de propaganda. Las imágenes así recopiladas habían proporcionado a la posteridad un registro visual completo del evento catastrófico que causó más de medio millón de muertes, pero también de sus figuras más altas, desde generales prominentes hasta soldados rasos, contribuyendo a crear una fuerte impresión de asociación, sobre la población civil. Una cosa que generalmente no es conocida por el público en general es el hecho de que aproximadamente el 70% de la fotografía documental de la guerra fue capturada por las lentes gemelas de una cámara estereoscópica.[1]​ 
La Guerra Civil Americana fue la primera guerra en la historia, cuya realidad íntima se traería al hogar, no únicamente en las representaciones de periódicos, tarjetas de álbumes y tarjetas de visita, sino en un nuevo formato popular en 3D llamado «estereógrafo», «estereocardio» o «stereoview». Millones de estas tarjetas fueron producidas y compradas por un público ansioso por experimentar la naturaleza de la guerra de una manera completamente nueva.[2]​",¿Cómo se le conoce al evento predecesor de la guerra de secesión o guerra civil estadounidense que ocurrió en Kansas?
17,[-0.01826 -0.05728 -0.04602 ... -0.03546  0.06006  0.04114],"Sakya Trizin es el título que se le otorga a la cabeza del linaje Sakya. Su traducción literal es ""sostenedor del linaje Sakya"", entendiendo por linaje en el Budismo Tibetano la línea ininterrumpida de transmisión de enseñanzas desde el mismo Buda.[1]​
La escuela Sakya fue fundada en el año 1073 d. C., cuando Khön Konchog Gyalpo, un miembro de la familia noble Khön, estableció un monasterio en la región de Sakya en el Tíbet que pasó a convertirse en la sede central del linaje. Desde ese momento, la transmisión de enseñanzas se producirá siempre dentro de esta familia.
El actual Sakya Trizin es Gyana Vajra, oficialmente conocido como Khondung Gyana Vajra Rinpoche, es el 43.er Sakya Trizin.[2]​
La figura de Sakya Trizin es reconocida en el Budismo por la gran labor que realiza en la difusión del Dharma del Buda, ya que transmite los principales ciclos de iniciación de todos los Tantras y de todas las prácticas espirituales budistas que contienen las autorizaciones relativas a las prácticas esotéricas de las diversas escuelas del budismo tibetano.La escuela de budismo tibetano Sakya toma su nombre del lugar donde se asentó su primer monasterio en el año 1073 d. C.[1]​[2]​[3]​
Su fundador fue el Khön Konchok Gyalpo (1034-1102) y fue continuado por los llamados ""Cinco Patriarcas"":

Sachen Künga Nyingpo (1092-1158)
Sonam Tsemo (1142-1182)
Jetsün Drakpa Gyaltsen (1147-1216)
Sakya Pandita (1182-1251)
Drogön Chogyal Phagpa (1235-1280)
La escuela Sakya es la custodia principal de la enseñanza del Lamdré o ""camino del fruto"" o ""del resultado"". Este fue transmitido en la India por el maestro Gayadhara, discípulo de Virupa, al erudito y traductor Drogmi Lotsawa Sakya Yeshe (992-1074) quien lo llevó al Tíbet.
Su actual cabeza es S.S. Sakya Trizin y este cargo siempre es heredado dentro de la familia Khön.
En Occidente uno de sus más importantes difusores es el Lama Pema Wangdak responsable de varios centros en Estados Unidos, México y Argentina.",¿ Quién es el actual Sakya Trizin?
18,[ 0.002987  0.02388  -0.0288   ...  0.02774  -0.03656  -0.05536 ],"Una ciudad fronteriza es una localidad o ciudad cercana a la frontera entre dos países, estados, o regiones. Normalmente el término implica que la cercanía a la frontera es una de las cosas por las que el lugar es más conocido.
Debido a su proximidad a un país diferente, puede haber influencia de tradiciones y cultura exóticas en el lugar, pudiendo crearse distintas manifestaciones de sincretismo cultural. Las ciudades fronterizas pueden tener comunidades altamente cosmopolitas, una característica que comparten con ciudades portuarias, debido a los constantes viajes y comercio que pasan por la ciudad. También pueden ser puntos en que se generen conflictos internacionales, especialmente cuando los dos países tienen disputas territoriales. Por otro lado, la proximidad geográfica entre dos aglomeraciones urbanas favorece el comercio fronterizo, dependiendo la legislación que tenga cada país en relación con este tema, así como también la libertad de viaje de los ciudadanos.La Ciudad de Panamá[4]​ es la capital de la República de Panamá,[5]​[6]​ de la Provincia de Panamá y cabecera del Distrito de Panamá.[7]​ Está ubicada a orillas del golfo de Panamá, en el océano Pacífico, al este de la desembocadura del Canal de Panamá. 
Fundada con el nombre de La Muy Noble y Leal Nuestra Señora de la Asunción de Panamá, el 15 de agosto de 1519 por el español Pedro Arias Dávila cerca de una ranchería Cueva a la que llamaban Panamá,[8]​[9]​ actualmente ocupa un área de 2561 km². Como capital de la república, alberga la sede del Gobierno Nacional, junto a otras instituciones gubernamentales y una gran cantidad de embajadas y consulados debidamente acreditados.[10]​ Está comunicada mediante el puerto de Balboa, el aeropuerto Internacional de Tocumen, la carretera Panamericana y la carretera transístmica (autopista Panamá–Colón), que une en 78,9 km la ciudad con la costa del mar Caribe.
La ciudad es el principal centro cultural y económico de Panamá. Posee una intensa actividad financiera y un centro bancario;[11]​ ocupó la 2.ª posición en la versión 2013 de la clasificación de las Ciudades Más Competitivas de América Latina.[12]​ El canal de Panamá y el turismo son también notables fuentes de ingreso para la economía de la ciudad, que cuenta con un clima tropical monzónico. El paisaje urbano que ofrece la ciudad que entremezcla rascacielos, mar y bosque tropical la hace única en América Latina, asimismo, es una de las siete capitales costeras de Hispanoamérica, conjuntamente con La Habana, San Juan, Lima, Buenos Aires, Montevideo y Santo Domingo.",¿Cuál es una característica principal de una ciudad sostenible?
19,[-0.014824  0.0401    0.00426  ...  0.0471   -0.01109  -0.06793 ],"Galicia es una comunidad autónoma española, considerada nacionalidad histórica según su estatuto de autonomía,[6]​ situada en el noroeste de la península ibérica. Está formada por las provincias de La Coruña, Lugo, Orense y Pontevedra, que se componen de trescientos trece municipios[7]​ agrupados en cincuenta y tres comarcas. Su capital es la ciudad de Santiago de Compostela. Por otro lado, Vigo es el municipio con más población y La Coruña es el municipio más densamente poblado y la localidad con más habitantes.[2]​
Geográficamente, Galicia está bañada al oeste por el océano Atlántico y al norte por el mar Cantábrico. Limita al sur con Portugal y al este con Asturias y Castilla y León (provincias de León y de Zamora). Además del territorio continental, incluye los archipiélagos de las islas Cíes, el de Ons y el de Sálvora, las islas de Cortegada, Arosa, las Sisargas, las Malveiras y otras más pequeñas.
Galicia tiene 2 705 833 habitantes (INE 2024),[4]​ con una distribución demográfica que aglomera la mayor parte de la población en las franjas costeras comprendidas entre Ferrol y La Coruña en el noroeste y entre Villagarcía de Arosa, Pontevedra y Vigo en el suroeste. En su territorio se hablan el gallego y el castellano, ambas lenguas cooficiales según el Estatuto de Autonomía de Galicia.La Junta de Galicia[3]​ (en gallego, Xunta de Galicia) es el órgano colegiado[4]​ de gobierno de la comunidad autónoma española de Galicia.[5]​[6]​
Está compuesta por el presidente, vicepresidente o vicepresidentes (en su caso) y consejeros (en gallego, conselleiros), que se reparten las distintas áreas de gobierno. Los vicepresidentes y los consejeros son nombrados por el presidente. Galicia ejerce sus funciones administrativas a través de la Junta y de las consejerías. 
La presidencia de la Junta de Galicia tiene su sede oficial en el Palacio de Rajoy en Santiago de Compostela, y los edificios de San Caetano y San Lázaro acogen las consejerías.[7]​",¿Cuál es la capital de la comunidad autónoma de Galicia?
20,[-0.07184  -0.01892   0.003809 ...  0.02545   0.02992  -0.00389 ],"Bischofsheim es un municipio situado en el distrito de Groß-Gerau, en el estado federado de Hesse (Alemania). Su población estimada a finales de 2016 era de 13 293 habitantes.[2]​[3]​
Se encuentra ubicado al sur del estado, a poca distancia al este del río Rin que lo separa del estado de Renania-Palatinado.Gau-Bischofsheim es un municipio situado en el distrito de Maguncia-Bingen, en el estado federado de Renania-Palatinado (Alemania). Su población estimada a finales de 2016 era de 2033 habitantes.[2]​
Se encuentra ubicado en la zona centro-este del estado, cerca de la orilla izquierda del río Rin —que lo separa del estado de Hesse—, del río Nahe —afluente del anterior por su margen izquierda— y de la ciudad de Maguncia —la capital del estado—.","¿Qué río pasa cerca de Bischofsheim, Hesse ubicado en Alemania?"
21,[ 0.02464   0.004993 -0.05313  ...  0.007023 -0.0222    0.02197 ],"El parto humano, también llamado nacimiento, es la culminación del embarazo humano hasta el período de la salida del feto del útero.[1]​ La edad de un individuo se define por este suceso en muchas culturas. Se considera que una mujer inicia el parto con la aparición de contracciones uterinas regulares, que aumentan en intensidad y frecuencia, acompañadas de cambios fisiológicos en el cuello uterino.[2]​
El proceso del parto  natural se categoriza en cuatro fases: el borramiento y dilatación del cuello uterino, el descenso, nacimiento del bebé y el alumbramiento de la placenta. El parto puede verse asistido con medicamentos como  anestésicos o la oxitocina, utilizada ante complicaciones de retraso grave de alumbramiento. Junto con la episiotomía (incisión quirúrgica en la zona del perineo), todo esto no debe hacerse nunca de manera rutinaria, ya que el parto más seguro es el que evoluciona espontáneamente y en el que no se interviene innecesariamente.[3]​ En algunos embarazos catalogados como de riesgo elevado para la madre o el feto, el nacimiento ocurre por cesárea: la extracción del feto a través de una incisión quirúrgica en el abdomen.
La tasa de mortalidad materna sin asistencia médica (que incluye la preñez, el parto y el puerperio, siendo el parto el momento de mayor riesgo) es de alrededor de 1 en 150. Por su parte, la tasa de mortalidad neonatal sin asistencia médica es mucho mayor y la tasa de morbilidad para ambos, es decir, enfermedad y secuelas, es evidentemente aún más elevada. Esto se constata observando las estadísticas históricas previas a la introducción de las técnicas de asepsia y antisepsia, así como el uso de líquidos intravenosos, transfusiones, antibióticos, oxitocina, antihipertensivos, cirugía y muchos otros procedimientos médicos.
Estas elevadísimas tasas de mortalidad persisten en los partos naturales sin ninguna asistencia médica que siguen sucediendo en numerosos países debido a la falta de acceso a los recursos sanitarios o por razones ideológicas.[4]​En Física y en Matemática, la invariancia de escala es una propiedad de objetos o leyes en los que no hay cambios si la escala de tamaño (o la escala de energía) son multiplicadas por un factor común.[1]​ El término técnico para esta transformación es homotecia, también llamada dilatación o amplificación. Las dilataciones, además, pueden ser parte de una gran simetría conforme o invariancia de Weyl.

En Matemática, la invariancia de escala se refiere a una invariancia de funciones o curvas. Un concepto cercanamente relacionado es la autosimilitud, en la que una función o curva es invariante dentro de un subconjunto discreto de las dilataciones posibles. Esto también puede cumplirse para las distribuciones de probabilidad de un proceso aleatorio, que puede mostrar esta clase de invariancia de escala o autosimilitud.

En la teoría clásica de campos, la invariancia de escala se aplica casi siempre a la invariancia de toda la teoría cualesquiera que sean las dilataciones. Algunas teorías describen típicamente los procesos físicos clásicos con una inusual escala de tamaño.
En la teoría cuántica de campos, la invariancia de escala se interpreta en los términos de la física de partículas.[2]​ En una teoría que presente invariancia de escala, la intensidad de las interacciones entre partículas no depende de la energía de las partículas involucradas.
En mecánica estadística la invariancia de escala es una característica de las transiciones de fase.[3]​ La observación clave es que en la vecindad de una transición de fase o punto crítico ocurren fluctuaciones para todas las escalas de tamaño, y entonces puede buscarse una teoría de invariancia de escala que describa adecuadamente el fenómeno. Algunas teorías son teorías estadísticas de campos con invariancia de escala, y son muy parecidas en su forma a las teorías cuánticas de campos con invariancia de escala, mencionadas en el párrafo anterior.
Se llama universalidad a la observación de que sistemas microscópicos muy distintos pueden mostrar el mismo comportamiento en una transición de fase.[4]​ Por esto, las transiciones de fase en muchos sistemas diferentes pueden describirse mediante la misma subyacente teoría de invariancia de escala.
Generalmente las magnitudes adimensionales poseen invariancia de escala. El concepto análogo en estadística corresponde a los momentos estandarizados, que son estadísticas de una variable con invariancia de escala.",Describe la fase de dilatación en el proceso del parto humano.
22,[ 0.0194   0.00213 -0.02853 ... -0.02176 -0.05402 -0.02351],"Las antenas son apéndices multisegmentados presentes en los metámeros anteriores de los artrópodos mandibulados.
En los crustáceos son birrámeas y están presentes en los dos primeros segmentos de la cabeza, llamándose al par más pequeño anténulas. Todos los demás grupos de artrópodos (con la excepción de los quelicerados y los proturos, que carecen de ellas) tienen un único par unirrámeo de antenas.
Las antenas están articuladas a la cabeza pudiendo rotar en su base articular monocondilar. Alojan multitud de sensilias táctiles, olfatorios, gustativos y termo- e higroreceptores, que permiten al animal percibir la presencia de objetos tocándolos, oír, percibir el movimiento del aire, percibir aromas y sabores, así como captar la temperatura y humedad del ambiente y los objetos tocados por ellas.[1]​[2]​Los apéndices son estructuras anatómicas partes de los artrópodos, formadas por elementos articulados entre sí, que se insertan en todos o algunos de los metámeros del cuerpo.[1]​ La condición primitiva es la presencia de un par de apéndices similares en cada metámero, la cual se conserva en pocos artrópodos actuales. Las alas de los insectos no son apéndices.",¿Qué funciones desempeñan las antenas en los artrópodos?
23,[ 0.01863   0.006805 -0.013535 ... -0.02608  -0.0636   -0.01388 ],"Los apéndices son estructuras anatómicas partes de los artrópodos, formadas por elementos articulados entre sí, que se insertan en todos o algunos de los metámeros del cuerpo.[1]​ La condición primitiva es la presencia de un par de apéndices similares en cada metámero, la cual se conserva en pocos artrópodos actuales. Las alas de los insectos no son apéndices.Lugdunum Convenarum, literalmente «cerro del dios Lug de los Cónvenos» es el nombre que se suele dar hoy en día a una importante antigua ciudad urbana aquitano-romana del suroeste de la Galia romana, correspondiente al actual pueblo de Saint-Bertrand-de-Comminges.",¿En que país actual estuvo ubicada la ciudad romana de Lugdunum?
24,[-0.004463  0.0419    0.02023  ... -0.03555   0.011536  0.02425 ],"El sirope de chocolate, salsa de chocolate o jarabe de chocolate es un tipo de condimento que suele añadirse a ciertas preparaciones culinarias con el objeto de aumentar el sabor y aroma a chocolate. El sirope de chocolate puede añadirse a una amplia gama de platos, si bien a menudo se usa para cubrir diversos postres, como helados, o mezclado con leche para obtener leche chocolateada. En repostería, mediante el uso de una manga puede ser empleado en la decoración de ciertos platos, como pueden ser postres.El granizado o raspado es un refresco o refrigerio compuesto de hielo troceado o rallado con sirope o jarabe de sabores variados (limón, fresa, café, etcétera). Recibe distintas denominaciones, dependiendo del país.",¿Cuál es el ingrediente principal del jarabe o sirope de chocolate?
25,[-0.03986  -0.003181 -0.01283  ... -0.02261  -0.00806  -0.00609 ],"Ludhiana es una ciudad y municipio del estado del Punyab, al nordeste de la India, en el distrito del mismo nombre. Fundada a finales del siglo XV, es la ciudad más grande de Punjab, con una población estimada de 1.740.249 de habitantes (2010). Está situada en un brazo del Sutlej, 13 km al sur de su curso actual.
Ludhiana está localizada en la Grand Trunk Road, una de las rutas comerciales principales de la zona de Delhi, que tiene más de dos mil años de historia. La ciudad está comunicada con la capital por carretera y servicios de trenes.
Es un centro industrial y educativo del norte de India, y cruce de muchas culturas.
De las 1086 ciudades que analiza la Organización Mundial de la Salud, Ludhiana es una de las ciudades más contaminadas de todo el planeta debido a la gran cantidad de fábricas que se han establecido en ella, en particular de la industria automotriz.[2]​Ludhiana (en punyabí: ਲੁਧਿਆਣਾ ਜ਼ਿਲਾ) es un distrito de la India en el estado de Punyab. Código ISO: IN.PB.LU.[2]​
Comprende una superficie de 3744 km².
El centro administrativo es la ciudad de Ludhiana.",¿En qué estado de la India se encuentra la ciudad de Ludhiana?
26,[ 0.01066  0.00739 -0.04996 ... -0.03146  0.03235 -0.01031],"Erysiphales es un orden de hongos ascomicetos. El orden contiene una sola familia, Erysiphaceae. Muchos de ellos causan enfermedades de las plantas llamadas mildiú polvoriento.Podosphaera macularis es un hongo patógeno de plantas.
Sphaerotheca macularis.
Este es un oídio que ataca a un amplio rango de huéspedes, con lo que es muy probable que haya algún reservorio cerca de nuestra plantación. Es un gran problema en fresa y también en plantaciones de lúpulo. Este hongo pasa el invierno en forma de ascas o de micelio sobre otras plantas huésped bien sean cultivadas o silvestres (en parques y jardines, balcones y terrazas, etc.). Los cultivos de interior o de invernadero infectados también son un buen reservorio de la enfermedad. Este micelio refugiado en otras plantas libera conídios (un tipo de espora). Estos conidios son los que transportados mayormente por el viento, acaban en la superficie de las hojas de las plantas de cannabis, donde si las condiciones son las adecuadas germinan y se desarrollan, formando nuevos conidios, volviendo a comenzar el ciclo y haciendo que este hongo se extienda por toda la planta.
Cuanto más alta es la concentración de conidio en el ambiente, mayor será la probabilidad de sufrir un ataque grave de este hongo, con lo que las medidas preventivas estarán dirigidas a crear condiciones y aplicar tratamientos que dificulten el establecimiento de estos conidios en nuestras plantas. Este hongo se desarrolla superficialmente, por lo que otra pista que nos permitirá identificarlo es que cuando pasamos el dedo por encima de la hoja, la mancha de polvo se va. Aunque esto puede hacer pensar que la erradicación con fungicidas debe ser fácil, la realidad es que si utilizamos productos biológicos de bajo efecto sistémico, las partes a las que no ha llegado el fungicida o no ha penetrado lo suficiente, seguirán conteniendo pequeñas partes del hongo que pueden volver a crecer rápidamente si las condiciones le son propicias. Por eso hay que ser constante con los tratamientos incluso aunque ya no detectemos la presencia de oídio.
Según los estudios consultados, los factores ambientales involucrados en el establecimiento y desarrollo del hongo en diversos huéspedes son:
• Temperatura media diaria: Superior a 15 °C favorece el desarrollo del hongo y la dispersión de conidios. En general, la producción de conidios disminuye cuando las temperaturas bajan de 15-20 °C y cuando las temperaturas superan los 26 °C. Según los estudios realizados con lúpulo, exposiciones de unas dos horas a temperaturas superiores a 32 °C disminuyen la incidencia de la enfermedad.
• Humedad relativa: El rango óptimo de germinación de los conidios es entre 75% y 98% de humedad. Ante humedades relativas bajas, el hongo reacciona liberando un mayor número de esporas. Esta dispersión se ve favorecida también por fluctuacionesbruscas de la humedad. Cuanto más baje la humedad ambiental y cuanto más bruscamente lo haga, más cantidad de esporas serán liberadas en el ambiente. Aunque la humedad ambiental sea baja, debido a la transpiración de la planta, la superficie foliar puede llegar a tener una humedad alta, lo que permite la germinación del conidio. Un medidor digital de temperatura y humedad con máximas y mínimas es una herramienta imprescindible en estos casos ya que nos dará una idea precisa de cuándo se dan estos valores de alto riesgo.
• Lluvia: La lluvia elimina las esporas que están flotando en el ambiente por lo que la probabilidad de infección en un día de lluvia es bajo. Además una capa de agua sobre las hojas impide la germinación de las esporas, el desarrollo de los conidios y su dispersión. La maduración de los conidios precisa de luz, por lo que la dispersión de las esporas se produce por el día, aproximadamente entre la 13:00 y las 15:00 de la tarde. El momento más crítico del día suele ser entre las 17:00 y las 21:00. Estudios con lúpulo demostraron que las esporas que germinen en estas horas tienen más probabilidad de causar un daño mayor.",¿A qué seres vivos afectan los hongos de la orden Erysiphales?
27,[ 0.01519   0.04996  -0.007015 ...  0.03778  -0.01752  -0.03662 ],"A Portuguesa (en español, La Portuguesa) es el nombre por el que se conoce el Himno nacional de Portugal.
La letra fue escrita por Henrique Lopes de Mendonça mientras que la música fue compuesta por Alfredo Keil.[1]​ Fue compuesta inicialmente como una marcha, como respuesta al ultimátum británico de 1890. Adoptado como un himno republicano y finalmente por la nueva República Portuguesa en 1910 como Himno Nacional, reemplazando a O Hino da Carta, el último himno de la monarquía constitucional en Portugal.Un himno nacional es una composición musical emblemática de una nación, que la identifica y que une entre sí a quienes la interpretan.[1]​ Estas funciones representativas, simbólicas y de unión son compartidas con la bandera, el traje típico y otros.
En general, los himnos nacionales tratan de reflejar la unión, el sentimiento de solidaridad y la glorificación de la historia y las tradiciones de un país.[2]​ 
Los himnos nacionales comienzan a surgir en la modernidad, al mismo tiempo que lo hace la nación. [3]​Así pues, algunos de los himnos nacionales más antiguos del  mundo son los de Gran Bretaña (1740),[4]​España (1770), Francia (1792) y Argentina (1812-1813).[3]​Existen otras composiciones musicales de mayor antigüedad, pero solo más tardíamente se les acabaría otorgando el carácter de himnos nacionales.[3]​
Durante los siglos xix y xx, con el crecimiento del número de países independientes, muchos de ellos adoptaron himnos nacionales que, en algunos casos, coexistían con canciones populares de carácter patriótico utilizadas.[5]​
Según Michael Billing, en su libro titulado Nacionalismo Banal, el himno es uno de los elementos utilizados para crear y mantener identidades nacionales.[6]​ Para Enric Hobsbawn y Terence Ranger, es uno de los elementos de estudio en el entorno de lo que llaman la invención de la tradición.[4]​","¿Quién escribió la letra del himno nacional de portugal, A Portuguesa?"
28,[ 0.003967  0.03848  -0.05637  ...  0.0212    0.04727  -0.01101 ],"La Armada de Suecia (en sueco: Svenska marinen) es la rama naval de la Fuerzas Armadas de Suecia.  Se compone de unidades de superficie y submarinas - la Flota (en sueco: Flottan)- así como de unidades de infantería de marina, denominadas Cuerpo Anfibio (Amfibiekåren). Es una marina de guerra de tamaño moderado, pero moderna y poderosa, especializada en buques de defensa costera, como corbetas, minadores, lanchas misileras y patrulleros. Debido a su orientación y sus buques -pensados para operar en el Mar Báltico, el Golfo de Botnia y el Estrecho de Kattegat- no se le puede calificar como una ""armada de agua azul"".
En Suecia, a los buques de la armada se les da el prefijo ""HMS"", abreviatura de ""Hans/Hennes Majestäts Skepp"" (Buque de Su Majestad). Algunas marinas de guerra internacionales, pero no así la propia marina de guerra sueca, le asignan el prefijo ""HSwMS"" (en inglés: ""His Swedish Majesty's Ship"" o ""Buque de Su Majestad Sueca""), sobre todo para diferenciarlos de las naves de la Royal Navy británica, que también usan la abreviatura ""HMS"" (""Her Majesty's Ship"").Carlos IX de Suecia (Estocolmo, 4 de octubre de 1550-Nyköping, 30 de octubre de 1611) fue rey de Suecia entre 1604 y 1611. Fue el último hijo del rey Gustavo Vasa y de su segunda esposa, Margarita Eriksdotter. Antes de ser rey de Suecia, había heredado de su padre el ducado de Södermanland. De 1599 a 1604 se desempeñó como regente de Suecia, tras el derrocamiento de su sobrino, Segismundo Vasa.
Fue un férreo opositor al catolicismo, defensor de la independencia y precursor de la política expansionista sueca, en la que se topó con la rivalidad de Polonia. De carácter represor y autoritario, llevó a cabo la fundación de un Estado fuerte, en concordancia con los ideales de su padre.",¿Qué rey sueco inició la armada de Suecia?
