,Embedding,Texto,Keywords Pregunta
10,[-0.004333 -0.0473   -0.01533  ...  0.001153 -0.01209   0.004906],"White Collar es una serie de televisión de USA Network creada por Jeff Eastin, protagonizada por Matthew Bomer como el convicto Neal Caffrey y Tim DeKay como el gente especial Peter Burke. Se estrenó el 23 de octubre de 2009. En diciembre de 2009, White Collar fue renovada para una segunda temporada estrenada el 13 de julio de 2010. Hubo un receso hasta enero de 2011.[1]​ El 27 de septiembre de 2010, USA Network renovó White Collar para una tercera temporada con 16 nuevos episodios.[2]​ El 26 de agosto de 2011, se anunció la renovación para una cuarta temporada, nuevamente con 16 episodios.[3]​ La serie fue renovada para una quinta temporada el 25 de septiembre de 2012,[4]​ que se estrenó el 17 de octubre de 2013 y consta de 13 episodios.[5]​[6]​ El 20 de marzo de 2014, la serie fue renovada para una sexta y última temporada de seis episodios,[7]​ que fue estrenada el 6 de noviembre de 2014.[8]​White Collar Blue, es un drama policíaco australiano que comenzó sus transmisiones el 12 de agosto del 2002 por medio de la cadena Network Ten y terminó sus transmisiones el 22 de diciembre del 2003.
La serie siguió a la estación de policía Kingsway, una división de la policía que trabaja en la ciudad de Sídney.
El programa fue creada por Steve Knapman y Kris Wyld, y contó con la participación invitada de actores como Jason Clarke, Lachy Hulme, Grant Bowler, Wil Traval, Brendan Cowell, Anthony Hayes, Toby Schmitz, Ryan Johnson, Tim Campbell, Anna Torv, Wayne Pygram, Matthew Le Nevez, Maeve Dermody, entre otros...",¿Cuántas temporadas tiene la serie de televisión estadounidense White Collar?
11,[-0.05826  -0.07153  -0.042    ... -0.01014  -0.002705 -0.03384 ],"The Love Boat, El crucero del amor (en Hispanoamérica), El bote del amor (en Venezuela) o Vacaciones en el mar (en España) es una serie de televisión estadounidense que se emitió en la cadena ABC entre los años 1977 y 1986. Estaba ambientada en un barco que realizaba cruceros de lujo por diferentes lugares del mundo. Es básicamente una comedia de situación con toques románticos, de tono amable y pensada para un público familiar.Albert Leong (30 de septiembre de 1952) es un artista marcial, coreógrafo de artes marciales, escritor, actor, doble de riesgo y director de ascendencia asiática-estadounidense. Ha aparecido en cine y televisión, además de involucrarse en la producción cinematográfica.
En el año 2000 hizo su debut directorial y como escritor en la película independiente Daddy Tell Me a Story...",¿Cuál es la profesión de Ted Lange?
12,[-0.066     0.01039  -0.01137  ... -0.0197    0.003424  0.010254],"Christopher S. Claremont[1]​[2]​ (Londres, Inglaterra, Reino Unido, 25 de noviembre de 1950),[3]​[4]​ más conocido como Chris Claremont, es un guionista de cómics y escritor, conocido principalmente por ser el autor que popularizó a los X-Men de los años 1980.
Durante sus 16 años ininterrumpidos (1975-1991) como guionista de Uncanny X-Men, Claremont redefinió casi por completo la serie, pasando de estar al borde del cierre a ser una de las más importantes de la editorial. La mayoría de los mutantes de Marvel Comics han sido creados o redefinidos por él, razón por la que es considerado como padre del «subuniverso» mutante de Marvel. Es considerado por muchos como el segundo guionista más importante en la historia de la editorial, tras Stan Lee.La historieta o cómic fantástico es uno de los géneros de ficción en que puede dividirse la producción de historietas. La fantasía asoma en otros muchos géneros falso y, en su concepción más amplia, puede abarcar la historieta de ciencia ficción y la de terror, pero es más habitual concederles una entidad diferente. En términos generales, puede afimarse que el cómic es un medio especialmente propicio para el género fantástico, dado que la ""absoluta libertad del lápiz ante la página en blanco da al artista la capacidad de proponer el más delirante de los mundos posibles con el único límite de su imaginación"".[1]​",¿Qué serie de historietas popularizó el guionista Chris Claremont?
13,[-0.0299   -0.00638  -0.03687  ... -0.006424 -0.02654   0.00198 ],,"¿Quién escribó la novela italiana ""Il passato è una terra straniera"" cuyo título en espanol es ""El pasado es un país extranjero""?"
14,[-0.07166 -0.01881  0.0038  ...  0.02548  0.02983 -0.00402],"Bischofsheim es un municipio situado en el distrito de Groß-Gerau, en el estado federado de Hesse (Alemania). Su población estimada a finales de 2016 era de 13 293 habitantes.[2]​[3]​
Se encuentra ubicado al sur del estado, a poca distancia al este del río Rin que lo separa del estado de Renania-Palatinado.Gau-Bischofsheim es un municipio situado en el distrito de Maguncia-Bingen, en el estado federado de Renania-Palatinado (Alemania). Su población estimada a finales de 2016 era de 2033 habitantes.[2]​
Se encuentra ubicado en la zona centro-este del estado, cerca de la orilla izquierda del río Rin —que lo separa del estado de Hesse—, del río Nahe —afluente del anterior por su margen izquierda— y de la ciudad de Maguncia —la capital del estado—.","¿Qué río pasa cerca de Bischofsheim, Hesse ubicado en Alemania?"
15,[-0.02094   0.006107  0.00623  ...  0.0309    0.03625   0.04056 ],"El Hamilton Academical Football Club es un club de fútbol de Escocia, con sede en Hamilton. Fue fundado en 1874 y compite en el Scottish Championship, segunda categoría del fútbol escocés.La Scottish Challenge Cup (por razones de patrocinio Petrofac Training Cup) es una competición de fútbol de Escocia en la que participan equipos de la Scottish Premiership, Primera, Segunda, Tercera División, más los campeones de la Highland Football League.
La competición se celebró por primera vez durante la temporada 1990-91, como la Copa Centenario B & Q, para celebrar el 100° aniversario de la formación de la Liga escocesa de fútbol. El primer ganador del torneo fue Dundee FC, que venció en la final al Ayr United. Falkirk es el equipo más exitoso en el torneo, con cuatro victorias, la última en 2012.",¿Cuántas veces ha participado el equipo escocés de football Hamilton Academical Football Club en el torneo Scottish Challenge Cup?
16,[-0.0284  -0.03506 -0.02838 ...  0.00975  0.0378  -0.04553],"Ghislain N'Clomande Konan, más conocido como Ghislain Konan, (Abiyán, 27 de diciembre de 1995) es un futbolista marfileño que juega de defensa.La selección de fútbol de Costa de Marfil es el equipo representativo del país en las competiciones oficiales. Es dirigida por la Fédération Ivoirienne de Football, perteneciente a la Confederación Africana de Fútbol.
Con un total de 23 participaciones, Los Elefantes alzaron la Copa Africana de Naciones en tres ocasiones: en 1992, 2015 y de locales en 2024. También fueron subcampeones en 2006 y 2012.",¿Cuál es el único club africano en el que Ghislain Konan ha jugado profesionalmente?
17,[ 0.0041   0.03848 -0.05652 ...  0.02126  0.04745 -0.01104],"La Armada de Suecia (en sueco: Svenska marinen) es la rama naval de la Fuerzas Armadas de Suecia.  Se compone de unidades de superficie y submarinas - la Flota (en sueco: Flottan)- así como de unidades de infantería de marina, denominadas Cuerpo Anfibio (Amfibiekåren). Es una marina de guerra de tamaño moderado, pero moderna y poderosa, especializada en buques de defensa costera, como corbetas, minadores, lanchas misileras y patrulleros. Debido a su orientación y sus buques -pensados para operar en el Mar Báltico, el Golfo de Botnia y el Estrecho de Kattegat- no se le puede calificar como una ""armada de agua azul"".
En Suecia, a los buques de la armada se les da el prefijo ""HMS"", abreviatura de ""Hans/Hennes Majestäts Skepp"" (Buque de Su Majestad). Algunas marinas de guerra internacionales, pero no así la propia marina de guerra sueca, le asignan el prefijo ""HSwMS"" (en inglés: ""His Swedish Majesty's Ship"" o ""Buque de Su Majestad Sueca""), sobre todo para diferenciarlos de las naves de la Royal Navy británica, que también usan la abreviatura ""HMS"" (""Her Majesty's Ship"").Carlos IX de Suecia (Estocolmo, 4 de octubre de 1550-Nyköping, 30 de octubre de 1611) fue rey de Suecia entre 1604 y 1611. Fue el último hijo del rey Gustavo Vasa y de su segunda esposa, Margarita Eriksdotter. Antes de ser rey de Suecia, había heredado de su padre el ducado de Södermanland. De 1599 a 1604 se desempeñó como regente de Suecia, tras el derrocamiento de su sobrino, Segismundo Vasa.
Fue un férreo opositor al catolicismo, defensor de la independencia y precursor de la política expansionista sueca, en la que se topó con la rivalidad de Polonia. De carácter represor y autoritario, llevó a cabo la fundación de un Estado fuerte, en concordancia con los ideales de su padre.",¿Qué rey sueco inició la armada de Suecia?
18,[-0.01476  0.0401   0.00423 ...  0.0471  -0.01109 -0.06793],"Galicia es una comunidad autónoma española, considerada nacionalidad histórica según su estatuto de autonomía,[6]​ situada en el noroeste de la península ibérica. Está formada por las provincias de La Coruña, Lugo, Orense y Pontevedra, que se componen de trescientos trece municipios[7]​ agrupados en cincuenta y tres comarcas. Su capital es la ciudad de Santiago de Compostela. Por otro lado, Vigo es el municipio con más población y La Coruña es el municipio más densamente poblado y la localidad con más habitantes.[2]​
Geográficamente, Galicia está bañada al oeste por el océano Atlántico y al norte por el mar Cantábrico. Limita al sur con Portugal y al este con Asturias y Castilla y León (provincias de León y de Zamora). Además del territorio continental, incluye los archipiélagos de las islas Cíes, el de Ons y el de Sálvora, las islas de Cortegada, Arosa, las Sisargas, las Malveiras y otras más pequeñas.
Galicia tiene 2 705 833 habitantes (INE 2024),[4]​ con una distribución demográfica que aglomera la mayor parte de la población en las franjas costeras comprendidas entre Ferrol y La Coruña en el noroeste y entre Villagarcía de Arosa, Pontevedra y Vigo en el suroeste. En su territorio se hablan el gallego y el castellano, ambas lenguas cooficiales según el Estatuto de Autonomía de Galicia.La Junta de Galicia[3]​ (en gallego, Xunta de Galicia) es el órgano colegiado[4]​ de gobierno de la comunidad autónoma española de Galicia.[5]​[6]​
Está compuesta por el presidente, vicepresidente o vicepresidentes (en su caso) y consejeros (en gallego, conselleiros), que se reparten las distintas áreas de gobierno. Los vicepresidentes y los consejeros son nombrados por el presidente. Galicia ejerce sus funciones administrativas a través de la Junta y de las consejerías. 
La presidencia de la Junta de Galicia tiene su sede oficial en el Palacio de Rajoy en Santiago de Compostela, y los edificios de San Caetano y San Lázaro acogen las consejerías.[7]​",¿Cuál es la capital de la comunidad autónoma de Galicia?
19,[-0.02835  -0.001618 -0.0138   ...  0.02344  -0.01677  -0.04358 ],"La Junta de Galicia[3]​ (en gallego, Xunta de Galicia) es el órgano colegiado[4]​ de gobierno de la comunidad autónoma española de Galicia.[5]​[6]​
Está compuesta por el presidente, vicepresidente o vicepresidentes (en su caso) y consejeros (en gallego, conselleiros), que se reparten las distintas áreas de gobierno. Los vicepresidentes y los consejeros son nombrados por el presidente. Galicia ejerce sus funciones administrativas a través de la Junta y de las consejerías. 
La presidencia de la Junta de Galicia tiene su sede oficial en el Palacio de Rajoy en Santiago de Compostela, y los edificios de San Caetano y San Lázaro acogen las consejerías.[7]​Una estación ferroviaria o estación de ferrocarril es una instalación ferroviaria con vías a la que pueden llegar y desde la que se pueden expedir trenes. Se compone de varias vías, con desvíos entre ellas, y se delimita por señales de entrada en ambos sentidos. Adicionalmente son un punto de acceso al ferrocarril de pasajeros y mercancías, aunque no es una condición indispensable para ser una estación.
Suelen componerse de andenes junto a las vías y un edificio de viajeros con servicios como venta de billetes y sala de espera.",¿Cuál fue la última estación espacial soviética?
20,[ 0.00706  -0.02396  -0.02263  ...  0.001184 -0.04492  -0.00368 ],"David John Franco (Palo Alto, California; 12 de junio de 1985) es un actor y cineasta estadounidense. Comenzó su carrera con pequeños papeles en películas como Superbad (2007) y Charlie St. Cloud (2010). Después de un papel protagónico en la novena temporada de la serie de comedia Scrubs, Franco tuvo su gran éxito cinematográfico con un papel secundario en la película de comedia de amigos 21 Jump Street (2012). 
Franco también ha protagonizado Fright Night (2011), Now You See Me (2013) y su secuela Now You See Me 2 (2016), Neighbors (2014) y su secuela Neighbors 2: Sorority Rising (2016), Nerve (2016), The Disaster Artist (2017) y Day Shift (2022). En 2020, hizo su debut como director con The Rental, protagonizada por su esposa Alison Brie .James Edward Franco (Palo Alto, California; 19 de abril de 1978) es un actor y director de cine estadounidense.[1]​[2]​
Inició su trabajo interpretativa a finales de la década de 1990, con apariciones en series televisivas como Freaks and Geeks y en películas de adolescentes. En 2001 interpretó el papel de James Dean en la película homónima, actuación que fue premiada con un Globo de Oro al mejor actor de miniserie o telefilme.[3]​
Alcanzó la fama internacional por su papel de Harry Osborn en la primera trilogía de Spider-Man. A partir de entonces, sus participaciones en películas han sido muy variadas, incluyendo la película de guerra The Great Raid (2005), el drama romántico Tristán e Isolda, y la película dramática Annapolis (2006), dirigida por Justin Lin, entre otras. 
En 2008 interpretó a Saul Silver en la comedia Pineapple Express, película que le mereció una nominación a los Premios Globo de Oro en la categoría al mejor actor de comedia o musical. Ese mismo año tuvo un papel importante en la película biográfica Milk, donde interpretó a la pareja del político y activista gay Harvey Milk. 
En 2011 fue nominado a los Premios Óscar por su papel de actor principal en la película 127 horas.[4]​ En 2017, la película The Disaster Artist, producida, dirigida y protagonizada por Franco, fue galardonada con la Concha de Oro del Festival Internacional de Cine de San Sebastián.[5]​ También ganó el Globo de Oro al mejor actor Comedia o musical y estuvo nominada al Oscar al mejor guion adaptado",¿Cuántos premios ha ganado Dave Franco por actuaciones en su carrera como actor?
21,[-0.005627  0.01406  -0.0546   ...  0.01238   0.04834  -0.01151 ],"El Fútbol Club Red Bull Salzburgo[3]​ (en alemán: Fußball Club Red Bull Salzburg), o Salzburgo de manera abreviada,[4]​[5]​ es un club de fútbol de la ciudad de Salzburgo, Austria. Juega en la Bundesliga austriaca, máxima categoría del país. Fue fundado el 13 de septiembre de 1933 como Sportverein Austria Salzburgo, gracias a la fusión de otros dos equipos locales.
Ascendió a la máxima categoría nacional en 1953 teniendo un papel relevante hasta los años 1990 cuando, bajo el nombre de Casino Salzburgo, alcanzó sus mejores resultados con tres campeonatos de liga, tres supercopas y un subcampeonato en la Copa de la UEFA 1993-94. El 6 de abril de 2005 la empresa de bebidas energéticas Red Bull GmbH compró el Austria Salzburgo, siendo el primer club comprado por el grupo empresarial. Posteriormente modificó su nombre y escudo, pasando a denominarse Red Bull Salzburg.[6]​ y dándole un presupuesto importante al equipo para invertir en fichajes.[6]​ En los torneos internacionales participa como FC Salzburg por las limitaciones de la UEFA a los patrocinadores.[7]​
Cuando el equipo clasificó como campeón de Austria a la Liga de Campeones de la UEFA 2017-18, otro club propiedad de Red Bull, el RasenBallsport Leipzig de Alemania, también se había clasificado a este torneo continental, poniendo en riesgo la participación de ambos por estatutos UEFA, que prohíben la participación simultánea a dos equipos de un mismo propietario. Finalmente, la UEFA decidió aceptar ambos equipos tras confirmar que «no existe influencia simultánea» entre los dos, alegando cambios en sus estructuras que dejaron a Red Bull como propietario del equipo alemán y únicamente patrocinador del equipo austriaco, pero en la práctica toma las decisiones deportivas y administrativas de ambos equipos.[8]​
En protesta por las decisiones de Red Bull GmbH, un grupo de aficionados de Salzburgo fundó un nuevo club con los colores e historia tradicionales, el S. V. Austria Salzburg.[9]​El Red Bull Arena o Salzburgo Arena es un estadio de fútbol en la municipalidad de Wals-Siezenheim en los suburbios de Salzburgo, Austria. Fue oficialmente abierto en marzo del 2003 y es donde juega de local el club Red Bull Salzburg de la Bundesliga Austriaca.",¿Cuál es el nombre del equipo de fútbol que juega en el Red Bull Arena en Salzburgo?
22,[-0.0578   -0.02818  -0.003994 ... -0.02596   0.005615 -0.01915 ],"Captain Morgan es una de las marcas de ron producida por la empresa Diageo. Recibe este nombre por el corsario del Caribe del siglo XVII originario de Gales Henry Morgan. El eslogan de Captain Morgan es: ""¿Hay un pequeño capitán en ti?"" («Got a little Captain in You?»).Tracy Jamal Morgan (Brooklyn, 10 de noviembre de 1968) es un actor, comediante y autor estadounidense que es conocido por sus ocho temporadas como miembro de elenco de Saturday Night Live y actualmente conocido por interpretar el papel de Tracy Jordan en la serie de NBC 30 Rock.",¿Qué tipo de bebida es el Capitan Morgan?
23,[ 0.03625   0.02185  -0.01762  ...  0.007404 -0.0678   -0.01351 ],"Ponzone es una localidad y comune italiana de la provincia de Alessandria, región de Piamonte, con 1.218 habitantes.El Señorío de Masserano fue concedido a Antonio Fieschi el 29 de mayo de 1394 por el Papa Bonifacio IX, y elevado a Condado por el Papa Julio II en 1506. Pasó a los Ferrero, por la adopción de Ludovico II,[3]​ el 9 de abril de 1517. Convertido en Marquesado el 5 de agosto de 1547 y a Principado el 13 de agosto de 1598 por Clemente VIII.[4]​[2]​ Fue suprimido el 20 de marzo de 1767,[5]​ siendo cedido al Reino de Cerdeña.[6]​
Su territorio abarcó la actual comuna italiana de Masserano además de (Crevacuore, Romagnano Sesia hasta 1588 cuando pasa a la familia Serbelloni,[7]​ Curino, Ponzone, Crosa y Mombello di Torino), en el noroeste del país y tuvo como principal población a la localidad de igual nombre.[8]​",¿En qué país se encuentra la localidad de Ponzone?
24,[-0.05496 -0.03113 -0.04202 ... -0.01143  0.01959 -0.01628],"La epidemiología es una disciplina científica en el área de la salud pública, no solamente la medicina,  que estudia la distribución, frecuencia, magnitud y factores determinantes de las enfermedades existentes en poblaciones humanas definidas. Rich la describió en 1979 como la ciencia que estudia la dinámica de salud en las poblaciones; por lo tanto involucra el análisis e interpretación de las personas que también están sanas.. El profesional especializado en epidemiología se llama epidemiólogo.[1]​La epidemiología ocupacional es una subdisciplina de la epidemiología que se centra en las investigaciones de los trabajadores y el lugar de trabajo.[1]​[2]​ Los estudios epidemiológicos ocupacionales examinan los resultados de salud entre los trabajadores y su posible asociación con las condiciones en el lugar de trabajo, incluidos el ruido, los productos químicos, el calor o la radiación, o la organización del trabajo, como los horarios.
La necesidad de evidencia para informar las regulaciones de seguridad ocupacional, los programas de compensación laboral y la legislación de seguridad motivó el desarrollo de políticas de salud pública, métodos de epidemiología ocupacional y mecanismos de vigilancia.[3]​ La investigación epidemiológica ocupacional puede informar las evaluaciones de riesgos; desarrollo de estándares y otras actividades de gestión de riesgos; y estimaciones de los co-beneficios y co-daños de las políticas diseñadas para reducir los factores de riesgo o las condiciones que pueden afectar la salud humana. Los métodos de epidemiología ocupacional son comunes a los métodos utilizados en epidemiología ambiental.[4]​",¿Para qué se usa un estudio de casos y controles en epidemiología?
25,[-0.01869   0.00504  -0.03952  ...  0.02054  -0.05582   0.010895],"Frank Ullrich (Trusetal, 24 de enero de 1958) es un político y deportista alemán que compitió por la RDA en biatlón.[1]​
Participó en tres Juegos Olímpicos de Invierno, obteniendo en total cuatro medallas: oro y dos platas en Lake Placid 1980 y bronce en Innsbruck 1976.[1]​ Ganó catorce medallas en el Campeonato Mundial de Biatlón entre los años 1977 y 1983.[2]​
Después de retirarse de la competición, trabajó como entrenador de los equipos nacionales de biatlón de la RDA (1987-1991) y de Alemania (1991-2010), y de la selección de esquí de fondo de Alemania (2012-2015). Posteriormente, se dedicó a la política, en 2021 fue elegido diputado por el partido SPD en el Parlamento Federal.[3]​Antje Harvey (nacida como Antje Misersky, Magdeburgo, 10 de mayo de 1967) es una deportista alemana que compitió en esquí de fondo y biatlón.
Como biatleta participó en dos Juegos Olímpicos de Invierno, obteniendo en total cuatro medallas: oro y dos platas en Albertville 1992 y una plata en Lillehammer 1994.[1]​
Ganó dos medallas en el Campeonato Mundial de Biatlón, oro en 1995 y bronce en 1991.[2]​ En esquí de fondo obtuvo una medalla de bronce en el Campeonato Mundial de Esquí Nórdico de 1985, en la prueba de relevo.[3]​",¿ Cuántas medallas de oro obtuvo Alemania en el campeonato mundial de biatlón de 1991?
